# Temperatura_=_20.0
# Concentracion g/m^3_=_14600.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_81280.81619350107
# Promedio de 26 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.267045e-09	-5.150812e-09	-5.700957e+01	-6.087407e+02
1.000000e-08	-6.267095e-09	-5.152111e-09	-5.701002e+01	-6.087600e+02
2.000000e-08	-6.267003e-09	-5.151858e-09	-5.700918e+01	-6.087525e+02
3.000000e-08	-6.266796e-09	-5.147281e-09	-5.700730e+01	-6.087171e+02
4.000000e-08	-6.266438e-09	-5.141293e-09	-5.700405e+01	-6.086530e+02
5.000000e-08	-6.265881e-09	-5.137302e-09	-5.699898e+01	-6.085597e+02
6.000000e-08	-6.265122e-09	-5.136327e-09	-5.699207e+01	-6.084366e+02
7.000000e-08	-6.264196e-09	-5.135999e-09	-5.698364e+01	-6.082837e+02
8.000000e-08	-6.263104e-09	-5.127590e-09	-5.697371e+01	-6.081011e+02
9.000000e-08	-6.261796e-09	-5.125824e-09	-5.696182e+01	-6.078891e+02
1.000000e-07	-6.260226e-09	-5.182152e-09	-5.694754e+01	-6.076483e+02
1.100000e-07	-6.258445e-09	-5.269172e-09	-5.693133e+01	-6.073796e+02
1.200000e-07	-6.256609e-09	-5.242645e-09	-5.691464e+01	-6.070839e+02
1.300000e-07	-6.254793e-09	-5.190228e-09	-5.689812e+01	-6.067626e+02
1.400000e-07	-6.252885e-09	-5.216084e-09	-5.688076e+01	-6.064171e+02
1.500000e-07	-6.250742e-09	-5.187238e-09	-5.686127e+01	-6.060492e+02
1.600000e-07	-6.248369e-09	-5.098603e-09	-5.683968e+01	-6.056606e+02
1.700000e-07	-6.245815e-09	-5.096831e-09	-5.681645e+01	-6.052533e+02
1.800000e-07	-6.243064e-09	-5.174284e-09	-5.679142e+01	-6.048296e+02
1.900000e-07	-6.240085e-09	-5.198149e-09	-5.676432e+01	-6.043917e+02
2.000000e-07	-6.236906e-09	-5.183369e-09	-5.673541e+01	-6.039419e+02
2.100000e-07	-6.233555e-09	-5.195422e-09	-5.670492e+01	-6.034827e+02
2.200000e-07	-6.230042e-09	-5.180500e-09	-5.667296e+01	-6.030166e+02
2.300000e-07	-6.226378e-09	-5.147770e-09	-5.663963e+01	-6.025461e+02
2.400000e-07	-6.222523e-09	-5.114657e-09	-5.660456e+01	-6.020738e+02
2.500000e-07	-6.218498e-09	-5.124153e-09	-5.656796e+01	-6.016020e+02
2.600000e-07	-6.214353e-09	-5.162965e-09	-5.653025e+01	-6.011334e+02
2.700000e-07	-6.210092e-09	-5.158997e-09	-5.649148e+01	-6.006702e+02
2.800000e-07	-6.205678e-09	-5.162854e-09	-5.645133e+01	-6.002148e+02
2.900000e-07	-6.201095e-09	-5.148444e-09	-5.640965e+01	-5.997693e+02
3.000000e-07	-6.196375e-09	-5.113770e-09	-5.636671e+01	-5.993358e+02
3.100000e-07	-6.191522e-09	-5.092304e-09	-5.632256e+01	-5.989161e+02
3.200000e-07	-6.186505e-09	-5.111470e-09	-5.627692e+01	-5.985119e+02
3.300000e-07	-6.181288e-09	-5.119622e-09	-5.622946e+01	-5.981248e+02
3.400000e-07	-6.175890e-09	-5.112083e-09	-5.618037e+01	-5.977561e+02
3.500000e-07	-6.170333e-09	-5.136866e-09	-5.612982e+01	-5.974068e+02
3.600000e-07	-6.164618e-09	-5.134218e-09	-5.607782e+01	-5.970779e+02
3.700000e-07	-6.158756e-09	-5.108801e-09	-5.602450e+01	-5.967699e+02
3.800000e-07	-6.152743e-09	-5.089202e-09	-5.596980e+01	-5.964832e+02
3.900000e-07	-6.146571e-09	-5.094654e-09	-5.591366e+01	-5.962180e+02
4.000000e-07	-6.140237e-09	-5.099974e-09	-5.585604e+01	-5.959741e+02
4.100000e-07	-6.133751e-09	-5.104282e-09	-5.579704e+01	-5.957513e+02
4.200000e-07	-6.127135e-09	-5.115117e-09	-5.573685e+01	-5.955489e+02
4.300000e-07	-6.120384e-09	-5.106280e-09	-5.567544e+01	-5.953661e+02
4.400000e-07	-6.113461e-09	-5.105266e-09	-5.561247e+01	-5.952019e+02
4.500000e-07	-6.106333e-09	-5.097863e-09	-5.554762e+01	-5.950550e+02
4.600000e-07	-6.099017e-09	-5.086364e-09	-5.548108e+01	-5.949239e+02
4.700000e-07	-6.091552e-09	-5.078552e-09	-5.541317e+01	-5.948071e+02
4.800000e-07	-6.083942e-09	-5.088540e-09	-5.534394e+01	-5.947026e+02
4.900000e-07	-6.076170e-09	-5.103613e-09	-5.527325e+01	-5.946086e+02
5.000000e-07	-6.068243e-09	-5.103550e-09	-5.520113e+01	-5.945229e+02
5.100000e-07	-6.060176e-09	-5.104182e-09	-5.512775e+01	-5.944434e+02
5.200000e-07	-6.051983e-09	-5.094815e-09	-5.505322e+01	-5.943677e+02
5.300000e-07	-6.043645e-09	-5.092742e-09	-5.497737e+01	-5.942934e+02
5.400000e-07	-6.035102e-09	-5.087489e-09	-5.489966e+01	-5.942183e+02
5.500000e-07	-6.026346e-09	-5.082917e-09	-5.482001e+01	-5.941398e+02
5.600000e-07	-6.017410e-09	-5.085466e-09	-5.473872e+01	-5.940556e+02
5.700000e-07	-6.008332e-09	-5.090408e-09	-5.465614e+01	-5.939632e+02
5.800000e-07	-5.999120e-09	-5.097819e-09	-5.457234e+01	-5.938604e+02
5.900000e-07	-5.989755e-09	-5.092732e-09	-5.448715e+01	-5.937448e+02
6.000000e-07	-5.980238e-09	-5.089708e-09	-5.440058e+01	-5.936142e+02
6.100000e-07	-5.970572e-09	-5.082081e-09	-5.431265e+01	-5.934667e+02
6.200000e-07	-5.960750e-09	-5.078291e-09	-5.422330e+01	-5.933003e+02
6.300000e-07	-5.950738e-09	-5.077548e-09	-5.413223e+01	-5.931131e+02
6.400000e-07	-5.940514e-09	-5.076471e-09	-5.403922e+01	-5.929037e+02
6.500000e-07	-5.930079e-09	-5.080547e-09	-5.394430e+01	-5.926705e+02
6.600000e-07	-5.919457e-09	-5.080764e-09	-5.384767e+01	-5.924124e+02
6.700000e-07	-5.908672e-09	-5.080799e-09	-5.374957e+01	-5.921283e+02
6.800000e-07	-5.897731e-09	-5.070649e-09	-5.365004e+01	-5.918174e+02
6.900000e-07	-5.886637e-09	-5.060619e-09	-5.354912e+01	-5.914792e+02
7.000000e-07	-5.875400e-09	-5.052474e-09	-5.344690e+01	-5.911131e+02
7.100000e-07	-5.864029e-09	-5.046940e-09	-5.334346e+01	-5.907193e+02
7.200000e-07	-5.852513e-09	-5.046269e-09	-5.323870e+01	-5.902976e+02
7.300000e-07	-5.840833e-09	-5.043881e-09	-5.313245e+01	-5.898484e+02
7.400000e-07	-5.828976e-09	-5.043799e-09	-5.302459e+01	-5.893723e+02
7.500000e-07	-5.816946e-09	-5.038192e-09	-5.291516e+01	-5.888700e+02
7.600000e-07	-5.804772e-09	-5.032016e-09	-5.280442e+01	-5.883425e+02
7.700000e-07	-5.792463e-09	-5.023263e-09	-5.269244e+01	-5.877909e+02
7.800000e-07	-5.780014e-09	-5.015880e-09	-5.257920e+01	-5.872166e+02
7.900000e-07	-5.767422e-09	-5.013178e-09	-5.246466e+01	-5.866210e+02
8.000000e-07	-5.754691e-09	-5.011646e-09	-5.234884e+01	-5.860059e+02
8.100000e-07	-5.741818e-09	-5.010675e-09	-5.223174e+01	-5.853730e+02
8.200000e-07	-5.728791e-09	-5.002915e-09	-5.211324e+01	-5.847243e+02
