# 250416_14:25:52.721797
t	CH1	CH2
0.000000e+00	6.369227e-03	-8.782587e+00
1.000000e-08	6.798448e-03	-8.864213e+00
2.000000e-08	2.978960e-03	-8.885746e+00
3.000000e-08	1.762829e-03	-8.947367e+00
4.000000e-08	2.794235e-03	-8.959924e+00
5.000000e-08	6.149804e-03	-8.950526e+00
6.000000e-08	6.234577e-03	-9.001010e+00
7.000000e-08	4.860412e-03	-9.024684e+00
8.000000e-08	5.092432e-03	-9.065814e+00
9.000000e-08	7.973878e-03	-9.085742e+00
1.000000e-07	6.863438e-03	-9.118745e+00
1.100000e-07	5.551295e-03	-9.118371e+00
1.200000e-07	4.220193e-03	-9.170499e+00
1.300000e-07	6.429929e-03	-9.191003e+00
1.400000e-07	9.767625e-03	-9.192004e+00
1.500000e-07	9.564055e-03	-9.193716e+00
1.600000e-07	8.901706e-03	-9.223213e+00
1.700000e-07	9.153874e-03	-9.274212e+00
1.800000e-07	1.167166e-02	-9.275738e+00
1.900000e-07	1.118812e-02	-9.266271e+00
2.000000e-07	1.112054e-02	-9.277796e+00
2.100000e-07	9.935323e-03	-9.286770e+00
2.200000e-07	1.196091e-02	-9.306796e+00
2.300000e-07	1.447372e-02	-9.286821e+00
2.400000e-07	1.522309e-02	-9.308272e+00
2.500000e-07	1.577540e-02	-9.297347e+00
2.600000e-07	1.743807e-02	-9.278322e+00
2.700000e-07	1.809260e-02	-9.246368e+00
2.800000e-07	2.215383e-02	-9.257816e+00
2.900000e-07	1.543066e-02	-9.276768e+00
3.000000e-07	2.017528e-02	-9.235741e+00
3.100000e-07	1.508377e-02	-9.215689e+00
3.200000e-07	2.276662e-02	-9.232733e+00
3.300000e-07	1.831916e-02	-9.222583e+00
3.400000e-07	2.078844e-02	-9.184580e+00
3.500000e-07	2.004926e-02	-9.171055e+00
3.600000e-07	1.983435e-02	-9.171478e+00
3.700000e-07	1.900732e-02	-9.147897e+00
3.800000e-07	1.368414e-02	-9.157892e+00
3.900000e-07	1.591558e-02	-9.105797e+00
4.000000e-07	1.319901e-02	-9.107313e+00
4.100000e-07	1.737126e-02	-9.084663e+00
4.200000e-07	1.434779e-02	-9.012609e+00
4.300000e-07	1.382813e-02	-9.002052e+00
4.400000e-07	1.190676e-02	-9.000477e+00
4.500000e-07	1.066554e-02	-8.960271e+00
4.600000e-07	7.437809e-03	-8.937869e+00
4.700000e-07	6.668838e-03	-8.887266e+00
4.800000e-07	4.504899e-03	-8.885238e+00
4.900000e-07	5.763683e-03	-8.822558e+00
5.000000e-07	5.056643e-03	-8.783007e+00
5.100000e-07	6.766277e-03	-8.768478e+00
5.200000e-07	3.991112e-03	-8.726320e+00
5.300000e-07	3.928879e-03	-8.665216e+00
5.400000e-07	3.854723e-03	-8.653083e+00
5.500000e-07	2.773208e-03	-8.519929e+00
5.600000e-07	2.971536e-03	-8.507872e+00
5.700000e-07	1.387446e-03	-8.434690e+00
5.800000e-07	2.699779e-03	-8.373133e+00
5.900000e-07	2.611114e-03	-8.369424e+00
6.000000e-07	2.909812e-03	-8.317790e+00
6.100000e-07	2.291035e-03	-8.232713e+00
6.200000e-07	7.472838e-04	-8.191479e+00
6.300000e-07	2.151259e-03	-8.147419e+00
6.400000e-07	1.057526e-03	-8.095268e+00
6.500000e-07	1.194592e-03	-8.052159e+00
6.600000e-07	2.175121e-04	-7.991501e+00
6.700000e-07	1.127533e-03	-7.937762e+00
6.800000e-07	2.270646e-03	-7.842980e+00
6.900000e-07	2.134535e-03	-7.726321e+00
7.000000e-07	7.823417e-04	-7.623639e+00
7.100000e-07	-5.016265e-04	-7.569446e+00
7.200000e-07	-1.388922e-04	-7.475189e+00
7.300000e-07	-8.384448e-04	-7.380452e+00
7.400000e-07	1.121772e-04	-7.327841e+00
7.500000e-07	-6.217575e-05	-7.244240e+00
7.600000e-07	1.101539e-03	-7.201425e+00
7.700000e-07	7.662064e-04	-7.133843e+00
7.800000e-07	1.344013e-03	-7.032159e+00
7.900000e-07	-3.216048e-04	-6.917821e+00
8.000000e-07	-1.758224e-03	-6.852132e+00
8.100000e-07	-1.273964e-03	-6.779396e+00
8.200000e-07	-1.466414e-03	-6.695712e+00
8.300000e-07	-2.689636e-04	-6.621004e+00
8.400000e-07	-1.177271e-03	-6.557371e+00
8.500000e-07	-2.465785e-04	-6.472634e+00
8.600000e-07	-6.237466e-04	-6.390475e+00
8.700000e-07	-6.163180e-04	-6.324762e+00
8.800000e-07	-1.663948e-03	-6.209400e+00
8.900000e-07	-2.405264e-03	-6.054761e+00
9.000000e-07	-2.710709e-03	-6.009950e+00
9.100000e-07	-1.693650e-03	-5.905789e+00
9.200000e-07	-2.167726e-03	-5.820578e+00
9.300000e-07	-1.389963e-03	-5.726796e+00
9.400000e-07	-1.674749e-03	-5.641054e+00
9.500000e-07	-2.236060e-03	-5.558873e+00
9.600000e-07	-1.753246e-03	-5.469957e+00
9.700000e-07	-1.505965e-03	-5.294158e+00
9.800000e-07	-2.699649e-03	-5.158369e+00
9.900000e-07	-2.610988e-03	-5.063112e+00
1.000000e-06	-2.779401e-03	-4.926767e+00
1.010000e-06	-2.475955e-03	-4.819025e+00
1.020000e-06	-3.318681e-03	-4.614105e+00
1.030000e-06	-2.828785e-03	-4.607901e+00
1.040000e-06	-2.992117e-03	-4.482181e+00
1.050000e-06	-2.330397e-03	-4.411001e+00
